id	name
10311	Microsoft Office 2013 (32-bit editions)
10312	Microsoft Office 2013 (64-bit editions)
10407	Microsoft Office 2013 RT
10544	Microsoft Office 2013 RT 
10603	Microsoft Office 2013 RT Service Pack 1
10601	Microsoft Office 2013 Service Pack 1 (32-bit editions)
10601	Microsoft Office 2013 Service Pack 1 (32-bit editions) 
10602	Microsoft Office 2013 Service Pack 1 (64-bit editions)
10602	Microsoft Office 2013 Service Pack 1 (64-bit editions) 
9307	Microsoft Office Compatibility Pack Service Pack 2
4997	Microsoft Office Compatibility Pack Service Pack 3
10024	Microsoft Office for Mac 2011
10409	Microsoft Office OneNote 2013 (32-bit editions)
10410	Microsoft Office OneNote 2013 (64-bit editions)
9407	Microsoft Office SharePoint Server 2007 Service Pack 2 (32-bit editions)
9408	Microsoft Office SharePoint Server 2007 Service Pack 2 (64-bit editions)
10308	Microsoft Office SharePoint Server 2007 Service Pack 3 (32-bit editions)
10307	Microsoft Office SharePoint Server 2007 Service Pack 3 (64-bit editions)
10055	Microsoft Office Web Apps 2010
10275	Microsoft Office Web Apps 2010 Service Pack 1
10525	Microsoft Office Web Apps 2010 Service Pack 2
10414	Microsoft Office Web Apps 2013
10414	Microsoft Office Web Apps Server 2013
10611	Microsoft Office Web Apps Server 2013 Service Pack 1
1160	Microsoft Office Word Viewer
3354	Microsoft OneNote 2003 Service Pack 3
10155	Microsoft OneNote 2007 Service Pack 3
10155	Microsoft OneNote 2007 Service Pack 3 
10202	Microsoft OneNote 2010 Service Pack 1 (32-bit editions)
10203	Microsoft OneNote 2010 Service Pack 1 (64-bit editions)
10409	Microsoft OneNote 2013
10059	Microsoft OneNote Web App
10272	Microsoft OneNote Web App 2010 Service Pack 1
10526	Microsoft OneNote Web App 2010 Service Pack 2
9257	Microsoft Outlook 2003 Service Pack 3
9459	Microsoft Outlook 2007 Service Pack 2
8976	Microsoft Outlook 2007 Service Pack 3
9460	Microsoft Outlook 2010 (32-bit editions)
9461	Microsoft Outlook 2010 (64-bit editions)
10196	Microsoft Outlook 2010 Service Pack 1 (32-bit editions)
10197	Microsoft Outlook 2010 Service Pack 1 (64-bit editions)
10527	Microsoft Outlook 2010 Service Pack 2 (32-bit editions)
10528	Microsoft Outlook 2010 Service Pack 2 (64-bit editions)
10317	Microsoft Outlook 2013 (32-bit editions)
10318	Microsoft Outlook 2013 (64-bit editions)
10407	Microsoft Outlook 2013 RT 
9254	Microsoft PowerPoint 2003 Service Pack 3
9305	Microsoft PowerPoint 2007 Service Pack 2
10157	Microsoft PowerPoint 2007 Service Pack 3
9436	Microsoft PowerPoint 2010 (32-bit editions)
9437	Microsoft PowerPoint 2010 (64-bit editions)
10180	Microsoft PowerPoint 2010 Service Pack 1 (32-bit editions)
10179	Microsoft PowerPoint 2010 Service Pack 1 (64-bit editions)
7305	Microsoft PowerPoint Viewer 2003
1541	Microsoft PowerPoint Viewer 2007
10278	Microsoft Project Server 2010 Service Pack 1
